user_input,retrieved_contexts,response,answer_relevancy
What is the win-rate of DeepSeek-R1 on the AlpacaEval 2.0 benchmark?,"[', DeepSeek-R1\nsurpasses other closed-source models, demonstrating its competitive edge in educational\ntasks. On the factual benchmark SimpleQA, DeepSeek-R1 outperforms DeepSeek-V3,\ndemonstrating its capability in handling fact-based queries. A similar trend is observed\nwhere OpenAI-o1 surpasses 4o on this benchmark.\n4•Others : DeepSeek-R1 also excels in a wide range of tasks, including creative writing,\ngeneral question answering, editing, summarization, and more. It achieves an impressive\nlength-controlled win-rate of 87.6% on AlpacaEval 2.0 and a win-rate of 92.3% on Are-\nnaHard, showcasing its strong ability to intelligently handle non-exam-oriented queries.\nAdditionally, DeepSeek-R1 demonstrates outstanding performance on tasks requiring\nlong-context understanding, substantially outperforming DeepSeek-V3 on long-context\nbenchmarks.\n2. Approach\n2.1. Overview\nPrevious work has heavily relied on large amounts of supervised data to enhance model\nperformance. In this study, we demonstrate that reasoning capabi']",DeepSeek-R1 achieves a length-controlled win-rate of 87.6% on the AlpacaEval 2.0 benchmark.,1.0
What is DeepSeek-R1-Zero and how does it differ from DeepSeek-R1?,"['lities can be significantly\nimproved through large-scale reinforcement learning (RL), even without using supervised\nfine-tuning (SFT) as a cold start. Furthermore, performance can be further enhanced with\nthe inclusion of a small amount of cold-start data. In the following sections, we present: (1)\nDeepSeek-R1-Zero, which applies RL directly to the base model without any SFT data, and\n(2) DeepSeek-R1, which applies RL starting from a checkpoint fine-tuned with thousands of\nlong Chain-of-Thought (CoT) examples. 3) Distill the reasoning capability from DeepSeek-R1 to\nsmall dense models.\n2.2. DeepSeek-R1-Zero: Reinforcement Learning on the Base Model\nReinforcement learning has demonstrated significant effectiveness in reasoning tasks, as ev-\nidenced by our previous works (Shao et al., 2024; Wang et al., 2023). However, these works\nheavily depended on supervised data, which are time-intensive to gather. In this section, we\nexplore the potential of LLMs to develop reasoning capabilities without any supervised data']","DeepSeek-R1-Zero is a model that applies reinforcement learning (RL) directly to the base model without any supervised fine-tuning (SFT) data. In contrast, DeepSeek-R1 applies RL starting from a checkpoint that has been fine-tuned with thousands of long Chain-of-Thought (CoT) examples.",0.9802964130256505
What is the main advantage of using Group Relative Policy Optimization (GRPO) in reinforcement learning?,"[' ,\nfocusing on their self-evolution through a pure reinforcement learning process. We start with a\nbrief overview of our RL algorithm, followed by the presentation of some exciting results, and\nhope this provides the community with valuable insights.\n2.2.1. Reinforcement Learning Algorithm\nGroup Relative Policy Optimization In order to save the training costs of RL, we adopt Group\nRelative Policy Optimization (GRPO) (Shao et al., 2024), which foregoes the critic model that is\ntypically the same size as the policy model, and estimates the baseline from group scores instead.\nSpecifically, for each question 𝑞, GRPO samples a group of outputs {𝑜1,𝑜2,···,𝑜𝐺}from the old\npolicy𝜋𝜃𝑜𝑙𝑑and then optimizes the policy model 𝜋𝜃by maximizing the following objective:\nJ𝐺𝑅𝑃𝑂(𝜃)=E[𝑞∼𝑃(𝑄),{𝑜𝑖}𝐺\n𝑖=1∼𝜋𝜃𝑜𝑙𝑑(𝑂|𝑞)]\n1\n𝐺𝐺∑︁\n𝑖=1\x12\nmin\x12𝜋𝜃(𝑜𝑖|𝑞)\n𝜋𝜃𝑜𝑙𝑑(𝑜𝑖|𝑞)𝐴𝑖, clip\x12𝜋𝜃(𝑜𝑖|𝑞)\n𝜋𝜃𝑜𝑙𝑑(𝑜𝑖|𝑞), 1−𝜀, 1+𝜀\x13\n𝐴𝑖\x13\n−𝛽D𝐾𝐿\x00\n𝜋𝜃||𝜋𝑟𝑒𝑓\x01\x13\n,(1)\nD𝐾𝐿\x00\n𝜋𝜃||𝜋𝑟𝑒𝑓\x01=𝜋𝑟𝑒𝑓(𝑜𝑖|𝑞)\n𝜋𝜃(𝑜𝑖|𝑞)−log𝜋𝑟𝑒𝑓(𝑜𝑖|𝑞)\n𝜋𝜃(𝑜𝑖|𝑞)−1, (2)\nwhere𝜀and𝛽are hyper-parameters, and 𝐴𝑖is the advantag']","The main advantage of using Group Relative Policy Optimization (GRPO) in reinforcement learning is that it saves training costs by foregoing the critic model, which is typically the same size as the policy model, and instead estimates the baseline from group scores.",0.9999999999999997
What is the purpose of the reward system in training DeepSeek-R1-Zero?,"['e, computed using a group of\nrewards{𝑟1,𝑟2,...,𝑟𝐺}corresponding to the outputs within each group:\n𝐴𝑖=𝑟𝑖−m𝑒𝑎𝑛({𝑟1,𝑟2,···,𝑟𝐺})\ns𝑡𝑑({𝑟1,𝑟2,···,𝑟𝐺}). (3)\n5A conversation between User and Assistant. The user asks a question, and the Assistant solves it.\nThe assistant first thinks about the reasoning process in the mind and then provides the user\nwith the answer. The reasoning process and answer are enclosed within <think> </think> and\n<answer> </answer> tags, respectively, i.e., <think> reasoning process here </think>\n<answer> answer here </answer>. User: prompt. Assistant:\nTable 1|Template for DeepSeek-R1-Zero. prompt will be replaced with the specific reasoning\nquestion during training.\n2.2.2. Reward Modeling\nThe reward is the source of the training signal, which decides the optimization direction of RL.\nTo train DeepSeek-R1-Zero, we adopt a rule-based reward system that mainly consists of two\ntypes of rewards:\n•Accuracy rewards : The accuracy reward model evaluates whether the response is correct.\nFor example, ']","The reward system in training DeepSeek-R1-Zero serves as the source of the training signal, which determines the optimization direction of reinforcement learning (RL). It consists of a rule-based reward system that mainly includes accuracy rewards to evaluate the response.",0.979832123728895
Why is a format reward model used in the training of DeepSeek-R1-Zero?,"['in the case of math problems with deterministic results, the model is required\nto provide the final answer in a specified format (e.g., within a box), enabling reliable\nrule-based verification of correctness. Similarly, for LeetCode problems, a compiler can be\nused to generate feedback based on predefined test cases.\n•Format rewards : In addition to the accuracy reward model, we employ a format reward\nmodel that enforces the model to put its thinking process between ‘<think>’ and ‘</think>’\ntags.\nWe do not apply the outcome or process neural reward model in developing DeepSeek-R1-Zero,\nbecause we find that the neural reward model may suffer from reward hacking in the large-scale\nreinforcement learning process, and retraining the reward model needs additional training\nresources and it complicates the whole training pipeline.\n2.2.3. Training Template\nTo train DeepSeek-R1-Zero, we begin by designing a straightforward template that guides\nthe base model to adhere to our specified instructions. As depicted in Tabl']","A format reward model is used to enforce the model to put its thinking process between '<think>' and '</think>' tags, ensuring that the model adheres to a specified format for clarity and consistency.",0.9111924276287194
What was the initial and final pass@1 score of DeepSeek-R1-Zero on the AIME 2024 benchmark during the RL training process?,"['e 1, this template\nrequires DeepSeek-R1-Zero to first produce a reasoning process, followed by the final answer.\nWe intentionally limit our constraints to this structural format, avoiding any content-specific\nbiases—such as mandating reflective reasoning or promoting particular problem-solving strate-\ngies—to ensure that we can accurately observe the model’s natural progression during the RL\nprocess.\n2.2.4. Performance, Self-evolution Process and Aha Moment of DeepSeek-R1-Zero\nPerformance of DeepSeek-R1-Zero Figure 2 depicts the performance trajectory of DeepSeek-\nR1-Zero on the AIME 2024 benchmark throughout the RL training process. As illustrated,\nDeepSeek-R1-Zero demonstrates a steady and consistent enhancement in performance as the\nRL training advances. Notably, the average pass@1 score on AIME 2024 shows a significant\nincrease, jumping from an initial 15.6% to an impressive 71.0%, reaching performance levels\ncomparable to OpenAI-o1-0912. This significant improvement highlights the efficacy of our RL\nalgo']","The initial pass@1 score of DeepSeek-R1-Zero on the AIME 2024 benchmark was 15.6%, and it increased to an impressive 71.0% by the end of the RL training process.",0.9784396906424927
What is the primary achievement of the DeepSeek-R1-Zero model as highlighted in the text?,"['rithm in optimizing the model’s performance over time.\nTable 2 provides a comparative analysis between DeepSeek-R1-Zero and OpenAI’s o1-0912\nmodels across a variety of reasoning-related benchmarks. The findings reveal that RL empowers\n6ModelAIME 2024 MATH-500GPQA LiveCodeCodeForcesDiamond Bench\npass@1 cons@64 pass@1 pass@1 pass@1 rating\nOpenAI-o1-mini 63.6 80.0 90.0 60.0 53.8 1820\nOpenAI-o1-0912 74.4 83.3 94.8 77.3 63.4 1843\nDeepSeek-R1-Zero 71.0 86.7 95.9 73.3 50.0 1444\nTable 2|Comparison of DeepSeek-R1-Zero and OpenAI o1 models on reasoning-related\nbenchmarks.\nFigure 2|AIME accuracy of DeepSeek-R1-Zero during training. For each question, we sample\n16 responses and calculate the overall average accuracy to ensure a stable evaluation.\nDeepSeek-R1-Zero to attain robust reasoning capabilities without the need for any supervised\nfine-tuning data. This is a noteworthy achievement, as it underscores the model’s ability to\nlearn and generalize effectively through RL alone. Additionally, the performance of DeepSeek-']","The primary achievement of the DeepSeek-R1-Zero model is its ability to attain robust reasoning capabilities without the need for any supervised fine-tuning data, demonstrating effective learning and generalization through reinforcement learning (RL) alone.",0.9880683354556
How does majority voting impact the performance of DeepSeek-R1-Zero on the AIME benchmark?,"['\nR1-Zero can be further augmented through the application of majority voting. For example,\nwhen majority voting is employed on the AIME benchmark, DeepSeek-R1-Zero’s performance\nescalates from 71.0% to 86.7%, thereby exceeding the performance of OpenAI-o1-0912. The\nability of DeepSeek-R1-Zero to achieve such competitive performance, both with and without\nmajority voting, highlights its strong foundational capabilities and its potential for further\nadvancements in reasoning tasks.\nSelf-evolution Process of DeepSeek-R1-Zero The self-evolution process of DeepSeek-R1-Zero\nis a fascinating demonstration of how RL can drive a model to improve its reasoning capabilities\nautonomously. By initiating RL directly from the base model, we can closely monitor the model’s\nprogression without the influence of the supervised fine-tuning stage. This approach provides\na clear view of how the model evolves over time, particularly in terms of its ability to handle\ncomplex reasoning tasks.\nAs depicted in Figure 3, the thinking tim']","Majority voting increases DeepSeek-R1-Zero's performance on the AIME benchmark from 71.0% to 86.7%, surpassing the performance of OpenAI-o1-0912.",0.994812617563264
How does DeepSeek-R1-Zero improve its ability to solve complex reasoning tasks?,"['e of DeepSeek-R1-Zero shows consistent improve-\n7Figure 3|The average response length of DeepSeek-R1-Zero on the training set during the RL\nprocess. DeepSeek-R1-Zero naturally learns to solve reasoning tasks with more thinking time.\nment throughout the training process. This improvement is not the result of external adjustments\nbut rather an intrinsic development within the model. DeepSeek-R1-Zero naturally acquires the\nability to solve increasingly complex reasoning tasks by leveraging extended test-time compu-\ntation. This computation ranges from generating hundreds to thousands of reasoning tokens,\nallowing the model to explore and refine its thought processes in greater depth.\nOne of the most remarkable aspects of this self-evolution is the emergence of sophisticated\nbehaviors as the test-time computation increases. Behaviors such as reflection—where the model\nrevisits and reevaluates its previous steps—and the exploration of alternative approaches to\nproblem-solving arise spontaneously. These behaviors a']","DeepSeek-R1-Zero improves its ability to solve complex reasoning tasks by leveraging extended test-time computation, which allows it to generate hundreds to thousands of reasoning tokens. This enables the model to explore and refine its thought processes in greater depth, leading to the emergence of sophisticated behaviors such as reflection and the exploration of alternative problem-solving approaches.",1.0000000000000007
"What is the ""aha moment"" in the context of DeepSeek-R1-Zero's training?","['re not explicitly programmed but instead\nemerge as a result of the model’s interaction with the reinforcement learning environment. This\nspontaneous development significantly enhances DeepSeek-R1-Zero’s reasoning capabilities,\nenabling it to tackle more challenging tasks with greater efficiency and accuracy.\nAha Moment of DeepSeek-R1-Zero A particularly intriguing phenomenon observed during\nthe training of DeepSeek-R1-Zero is the occurrence of an “aha moment”. This moment, as\nillustrated in Table 3, occurs in an intermediate version of the model. During this phase,\nDeepSeek-R1-Zero learns to allocate more thinking time to a problem by reevaluating its initial\napproach. This behavior is not only a testament to the model’s growing reasoning abilities\nbut also a captivating example of how reinforcement learning can lead to unexpected and\nsophisticated outcomes.\nThis moment is not only an “aha moment” for the model but also for the researchers\nobserving its behavior. It underscores the power and beauty of reinfor']","The ""aha moment"" refers to a phenomenon observed during the training of DeepSeek-R1-Zero where the model learns to allocate more thinking time to a problem by reevaluating its initial approach. This behavior demonstrates the model's growing reasoning abilities and highlights the sophisticated outcomes that can emerge from reinforcement learning.",0.9633519645033076
"What is the concept of ""cement learning"" in reinforcement learning?","['cement learning: rather\nthan explicitly teaching the model on how to solve a problem, we simply provide it with the\nright incentives, and it autonomously develops advanced problem-solving strategies. The\n“aha moment” serves as a powerful reminder of the potential of RL to unlock new levels of\nintelligence in artificial systems, paving the way for more autonomous and adaptive models in\nthe future.\n8Question: If 𝑎 >1, then the sum of the real solutions of√︁\n𝑎−√\n𝑎+𝑥=𝑥is equal to\nResponse: <think>\nTo solve the equation√︁\n𝑎−√\n𝑎+𝑥=𝑥, let’s start by squaring both ···\x10√︁\n𝑎−√\n𝑎+𝑥\x112\n=𝑥2=⇒𝑎−√\n𝑎+𝑥=𝑥2.\nRearrange to isolate the inner square root term:\n(𝑎−𝑥2)2=𝑎+𝑥=⇒𝑎2−2𝑎𝑥2+(𝑥2)2=𝑎+𝑥=⇒𝑥4−2𝑎𝑥2−𝑥+(𝑎2−𝑎)=0\n. . .\nWait, wait. Wait. That’s an aha moment I can flag here.\nLet’s reevaluate this step-by-step to identify if the correct sum can be ···\nWe started with the equation:√︁\n𝑎−√\n𝑎+𝑥=𝑥\nFirst, let’s square both sides:\n𝑎−√\n𝑎+𝑥=𝑥2=⇒√\n𝑎+𝑥=𝑎−𝑥2\nNext, I could square both sides again, treating the equation: ···\n. . .\nTable 3|An interest']","Cement learning in reinforcement learning refers to the approach of not explicitly teaching the model how to solve a problem. Instead, the model is provided with the right incentives, allowing it to autonomously develop advanced problem-solving strategies. This method highlights the potential of reinforcement learning to enhance the intelligence of artificial systems, leading to more autonomous and adaptive models in the future.",0.9626576347983044
What are some of the challenges faced by DeepSeek-R1-Zero?,"['ing “aha moment” of an intermediate version of DeepSeek-R1-Zero. The\nmodel learns to rethink using an anthropomorphic tone. This is also an aha moment for us,\nallowing us to witness the power and beauty of reinforcement learning.\nDrawback of DeepSeek-R1-Zero Although DeepSeek-R1-Zero exhibits strong reasoning\ncapabilities and autonomously develops unexpected and powerful reasoning behaviors, it faces\nseveral issues. For instance, DeepSeek-R1-Zero struggles with challenges like poor readability,\nand language mixing. To make reasoning processes more readable and share them with the\nopen community, we explore DeepSeek-R1, a method that utilizes RL with human-friendly\ncold-start data.\n2.3. DeepSeek-R1: Reinforcement Learning with Cold Start\nInspired by the promising results of DeepSeek-R1-Zero, two natural questions arise: 1) Can\nreasoning performance be further improved or convergence accelerated by incorporating a small\namount of high-quality data as a cold start? 2) How can we train a user-friendly model that\n']","DeepSeek-R1-Zero faces challenges such as poor readability and language mixing, despite its strong reasoning capabilities and unexpected powerful reasoning behaviors.",0.9839384065291569
What is the purpose of collecting a small amount of long CoT data in the cold start phase of training DeepSeek-R1?,"['not only produces clear and coherent Chains of Thought (CoT) but also demonstrates strong\ngeneral capabilities? To address these questions, we design a pipeline to train DeepSeek-R1. The\npipeline consists of four stages, outlined as follows.\n2.3.1. Cold Start\nUnlike DeepSeek-R1-Zero, to prevent the early unstable cold start phase of RL training from\nthe base model, for DeepSeek-R1 we construct and collect a small amount of long CoT data\nto fine-tune the model as the initial RL actor. To collect such data, we have explored several\napproaches: using few-shot prompting with a long CoT as an example, directly prompting\nmodels to generate detailed answers with reflection and verification, gathering DeepSeek-R1-\nZero outputs in a readable format, and refining the results through post-processing by human\nannotators.\nIn this work, we collect thousands of cold-start data to fine-tune the DeepSeek-V3-Base as\nthe starting point for RL. Compared to DeepSeek-R1-Zero, the advantages of cold start data\n9include:\n•Readabilit']","The purpose of collecting a small amount of long CoT data in the cold start phase is to fine-tune the model as the initial RL actor, preventing the early unstable cold start phase of RL training from the base model.",0.9677580463907431
